INFO  - [SOLR] - 2018-12-12 20:36:43.230; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.231; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.231; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.232; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/commons-compress-1.4.1.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.232; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/commons-compress-1.4.1.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.232; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/poi-scratchpad-3.8.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.233; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/poi-scratchpad-3.8.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.233; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.233; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.234; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.235; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.235; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/poi-ooxml-schemas-3.8.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.235; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/poi-ooxml-schemas-3.8.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.236; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.236; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.237; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/pdfbox-1.7.1.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.237; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/pdfbox-1.7.1.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.237; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.238; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.238; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/tika-core-1.3.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.238; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/tika-core-1.3.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.239; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.239; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.240; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.240; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.241; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.241; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.242; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.242; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.242; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/xz-1.0.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.242; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/xz-1.0.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.243; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/jempbox-1.7.1.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.243; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/jempbox-1.7.1.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.243; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.244; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.244; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/poi-ooxml-3.8.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.244; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/poi-ooxml-3.8.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.244; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/icu4j-49.1.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.245; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/icu4j-49.1.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.245; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.245; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.246; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.246; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.246; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.246; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.247; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - [SOLR] - 2018-12-12 20:36:43.247; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
